1,3.14
2,12.56
3,28.26
22,1519.76
21312,1426192220.16
234234,172277879613.84
32432,3302760719.36
23432,1724044079.36
23423,1722719957.06
23423,1722719957.06
23423,1722719957.06
23432,1724044079.36
213,142458.66
123,47505.06
12312,475977980.16
12431244,485242497996863
32432,3302760719.36
234324,172410294104.64
243,185413.86
12312,475977980.16
2132,14272631.36
123,47505.06
1232,4765967.36
12312,475977980.16
32,3215.36
12,452.16
32,3215.36
32,3215.36
3,28.26
3,28.26
3,28.26
31,3017.54
31,3017.54
123,47505.06
